web-scraper-order,web-scraper-start-url,genre,genre-href,book,book-href,title,author,description,rating,total_rating,list_genre
"1669188455-821","https://www.goodreads.com/genres","Young Adult","https://www.goodreads.com/genres/young-adult","","https://www.goodreads.com/book/show/11735983-insurgent","Insurgent","Veronica Roth","One choice can transform you—or it can destroy you. But every choice has consequences, and as unrest surges in the factions all around her, Tris Prior must continue trying to save those she loves—and herself—while grappling with haunting questions of grief and forgiveness, identity and loyalty, politics and love.

Tris's initiation day should have been marked by celebration and victory with her chosen faction; instead, the day ended with unspeakable horrors. War now looms as conflict between the factions and their ideologies grows. And in times of war, sides must be chosen, secrets will emerge, and choices will become even more irrevocable—and even more powerful. Transformed by her own decisions but also by haunting grief and guilt, radical new discoveries, and shifting relationships, Tris must fully embrace her Divergence, even if she does not know what she may lose by doing so.

New York Times bestselling author Veronica Roth's much-anticipated second book of the dystopian DIVERGENT series is another intoxicating thrill ride of a story, rich with hallmark twists, heartbreaks, romance, and powerful insights about human nature.","3.99","1,375,098 ratings","[{""list_genre"":""Young Adult""},{""list_genre"":""Dystopia""},{""list_genre"":""Fiction""},{""list_genre"":""Fantasy""},{""list_genre"":""Science Fiction""},{""list_genre"":""Romance""},{""list_genre"":""Adventure""},{""list_genre"":""...more""}]"
"1669188458-822","https://www.goodreads.com/genres","Young Adult","https://www.goodreads.com/genres/young-adult","","https://www.goodreads.com/book/show/49041.New_Moon","New Moon","Stephenie Meyer","There is an alternate cover edition for ISBN13 9780316160193 here. 

I knew we were both in mortal danger. Still, in that instant, I felt well. Whole. I could feel my heart racing in my chest, the blood pulsing hot and fast through my veins again. My lungs filled deep with the sweet scent that came off his skin. It was like there had never been any hole in my chest. I was perfect - not healed, but as if there had never been a wound in the first place. 

I FELT LIKE I WAS TRAPPED IN ONE OF THOSE TERRIFYING NIGHTMARES, the one where you have to run, run till your lungs burst, but you can't make your body move fast enough.... But this was no dream, and, unlike the nightmare, I wasn't running for my life; I was racing to save something infinitely more precious. My own life meant little to me today. 

FOR BELLA SWAN THERE IS ONE THING more important than life itself: Edward Cullen. But being in love with a vampire is even more dangerous than Bella could ever have imagined. Edward has already rescued Bella from the clutches of one evil vampire, but now, as their daring relationship threatens all that is near and dear to them, they realize their troubles may be just beginning....

LEGIONS OF READERS ENTRANCED BY THE New York Times bestseller Twilight are hungry for the continuing story of star-crossed lovers Bell and Edward. In New Moon, Stephanie Meyer delivers another irresistible combination of romance and suspense with a supernatural spin. passionate, riveting, and full of surprising twists and turns, this vampire love saga is well on its way to literary immortality.","3.58","1,747,095 ratings","[{""list_genre"":""Young Adult""},{""list_genre"":""Fantasy""},{""list_genre"":""Romance""},{""list_genre"":""Vampires""},{""list_genre"":""Fiction""},{""list_genre"":""Paranormal""},{""list_genre"":""Paranormal Romance""},{""list_genre"":""...more""}]"
"1669188461-823","https://www.goodreads.com/genres","Young Adult","https://www.goodreads.com/genres/young-adult","","https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince","Harry Potter and the Half-Blood Prince","J.K. Rowling","It is the middle of the summer, but there is an unseasonal mist pressing against the windowpanes. Harry Potter is waiting nervously in his bedroom at the Dursleys' house in Privet Drive for a visit from Professor Dumbledore himself. One of the last times he saw the Headmaster was in a fierce one-to-one duel with Lord Voldemort, and Harry can't quite believe that Professor Dumbledore will actually appear at the Dursleys' of all places. Why is the Professor coming to visit him now? What is it that cannot wait until Harry returns to Hogwarts in a few weeks' time? Harry's sixth year at Hogwarts has already got off to an unusual start, as the worlds of Muggle and magic start to intertwine...","4.58","2,939,820 ratings","[{""list_genre"":""Fantasy""},{""list_genre"":""Young Adult""},{""list_genre"":""Fiction""},{""list_genre"":""Magic""},{""list_genre"":""Childrens""},{""list_genre"":""Adventure""},{""list_genre"":""Audiobook""},{""list_genre"":""...more""}]"
"1669188465-824","https://www.goodreads.com/genres","Young Adult","https://www.goodreads.com/genres/young-adult","","https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets","Harry Potter and the Chamber of Secrets","J.K. Rowling","Ever since Harry Potter had come home for the summer, the Dursleys had been so mean and hideous that all Harry wanted was to get back to the Hogwarts School for Witchcraft and Wizardry. But just as he’s packing his bags, Harry receives a warning from a strange impish creature who says that if Harry returns to Hogwarts, disaster will strike.

And strike it does. For in Harry’s second year at Hogwarts, fresh torments and horrors arise, including an outrageously stuck-up new professor and a spirit who haunts the girls’ bathroom. But then the real trouble begins – someone is turning Hogwarts students to stone. Could it be Draco Malfoy, a more poisonous rival than ever? Could it possibly be Hagrid, whose mysterious past is finally told? Or could it be the one everyone at Hogwarts most suspects… Harry Potter himself!","4.43","3,435,924 ratings","[{""list_genre"":""Fantasy""},{""list_genre"":""Fiction""},{""list_genre"":""Young Adult""},{""list_genre"":""Magic""},{""list_genre"":""Childrens""},{""list_genre"":""Middle Grade""},{""list_genre"":""Audiobook""},{""list_genre"":""...more""}]"
"1669188468-825","https://www.goodreads.com/genres","Young Adult","https://www.goodreads.com/genres/young-adult","","https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix","Harry Potter and the Order of the Phoenix","J.K. Rowling","Harry Potter is about to start his fifth year at Hogwarts School of Witchcraft and Wizardry. Unlike most schoolboys, Harry never enjoys his summer holidays, but this summer is even worse than usual. The Dursleys, of course, are making his life a misery, but even his best friends, Ron and Hermione, seem to be neglecting him.

Harry has had enough. He is beginning to think he must do something, anything, to change his situation, when the summer holidays come to an end in a very dramatic fashion. What Harry is about to discover in his new year at Hogwarts will turn his world upside down...","4.50","3,036,114 ratings","[{""list_genre"":""Fantasy""},{""list_genre"":""Young Adult""},{""list_genre"":""Fiction""},{""list_genre"":""Magic""},{""list_genre"":""Childrens""},{""list_genre"":""Adventure""},{""list_genre"":""Audiobook""},{""list_genre"":""...more""}]"
"1669188471-826","https://www.goodreads.com/genres","Young Adult","https://www.goodreads.com/genres/young-adult","","https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows","Harry Potter and the Deathly Hallows","J.K. Rowling","Harry has been burdened with a dark, dangerous and seemingly impossible task: that of locating and destroying Voldemort's remaining Horcruxes. Never has Harry felt so alone, or faced a future so full of shadows. But Harry must somehow find within himself the strength to complete the task he has been given. He must leave the warmth, safety and companionship of The Burrow and follow without fear or hesitation the inexorable path laid out for him...

In this final, seventh installment of the Harry Potter series, J.K. Rowling unveils in spectacular fashion the answers to the many questions that have been so eagerly awaited.","4.62","3,350,589 ratings","[{""list_genre"":""Young Adult""},{""list_genre"":""Fiction""},{""list_genre"":""Magic""},{""list_genre"":""Childrens""},{""list_genre"":""Adventure""},{""list_genre"":""Audiobook""},{""list_genre"":""Fantasy""},{""list_genre"":""...more""}]"
"1669188474-827","https://www.goodreads.com/genres","Young Adult","https://www.goodreads.com/genres/young-adult","","https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban","Harry Potter and the Prisoner of Azkaban","J.K. Rowling","Harry Potter, along with his best friends, Ron and Hermione, is about to start his third year at Hogwarts School of Witchcraft and Wizardry. Harry can't wait to get back to school after the summer holidays. (Who wouldn't if they lived with the horrible Dursleys?) But when Harry gets to Hogwarts, the atmosphere is tense. There's an escaped mass murderer on the loose, and the sinister prison guards of Azkaban have been called in to guard the school...","4.58","3,625,469 ratings","[{""list_genre"":""Fantasy""},{""list_genre"":""Fiction""},{""list_genre"":""Young Adult""},{""list_genre"":""Magic""},{""list_genre"":""Childrens""},{""list_genre"":""Middle Grade""},{""list_genre"":""Adventure""},{""list_genre"":""...more""}]"
"1669188481-828","https://www.goodreads.com/genres","Young Adult","https://www.goodreads.com/genres/young-adult","","https://www.goodreads.com/book/show/6.Harry_Potter_and_the_Goblet_of_Fire","Harry Potter and the Goblet of Fire","J.K. Rowling","It is the summer holidays and soon Harry Potter will be starting his fourth year at Hogwarts School of Witchcraft and Wizardry. Harry is counting the days: there are new spells to be learnt, more Quidditch to be played, and Hogwarts castle to continue exploring. But Harry needs to be careful - there are unexpected dangers lurking...","4.57","3,202,506 ratings","[{""list_genre"":""Fantasy""},{""list_genre"":""Young Adult""},{""list_genre"":""Fiction""},{""list_genre"":""Magic""},{""list_genre"":""Childrens""},{""list_genre"":""Middle Grade""},{""list_genre"":""Adventure""},{""list_genre"":""...more""}]"
"1669188485-829","https://www.goodreads.com/genres","Young Adult","https://www.goodreads.com/genres/young-adult","","https://www.goodreads.com/book/show/72193.Harry_Potter_and_the_Philosopher_s_Stone","Harry Potter and the Philosopher's Stone","J.K. Rowling","Harry Potter thinks he is an ordinary boy - until he is rescued by an owl, taken to Hogwarts School of Witchcraft and Wizardry, learns to play Quidditch and does battle in a deadly duel. The Reason ... HARRY POTTER IS A WIZARD!","4.47","8,889,571 ratings","[{""list_genre"":""Fantasy""},{""list_genre"":""Fiction""},{""list_genre"":""Young Adult""},{""list_genre"":""Magic""},{""list_genre"":""Childrens""},{""list_genre"":""Middle Grade""},{""list_genre"":""Classics""},{""list_genre"":""...more""}]"
"1669188488-830","https://www.goodreads.com/genres","Young Adult","https://www.goodreads.com/genres/young-adult","","https://www.goodreads.com/book/show/41865.Twilight","Twilight","Stephenie Meyer","About three things I was absolutely positive.

First, Edward was a vampire.

Second, there was a part of him—and I didn't know how dominant that part might be—that thirsted for my blood.

And third, I was unconditionally and irrevocably in love with him.

Deeply seductive and extraordinarily suspenseful, Twilight is a love story with bite.","3.63","5,944,798 ratings","[{""list_genre"":""Fantasy""},{""list_genre"":""Young Adult""},{""list_genre"":""Romance""},{""list_genre"":""Fiction""},{""list_genre"":""Vampires""},{""list_genre"":""Paranormal""},{""list_genre"":""Paranormal Romance""},{""list_genre"":""...more""}]"
