author,description,genre,rating,title,total_rating
Dr. Seuss,"<span class=""Formatted""><b>Have a ball with Dr. Seuss and the Cat in the Hat in this classic picture book...but don't forget to clean up your mess!</b><br><br><i> Then he said That is that.<br>And then he was gone<br>With a tip of his hat.</i><br><br>A dreary day turns into a wild romp when this beloved story introduces readers to the <i>Cat in the Hat</i> and his troublemaking friends, <i>Thing 1</i> and <i>Thing 2</i> – And don't forget <i>Fish</i>! A favorite among kids, parents and teachers, this story uses simple words and basic rhyme to encourage and delight beginning readers.<br><br>Originally created by <b>
  <a href=""https://www.goodreads.com/book/show/61105.Dr__Seuss"" title=""Dr. Seuss"">Dr. Seuss</a>
</b> himself, <i>Beginner Books</i> are fun, funny, and easy to read. These unjacketed hardcover early readers encourage children to read all on their own, using simple words and illustrations. Smaller than the classic large format Seuss picture books like <i><a href=""https://www.goodreads.com/book/show/900821.The_Lorax"" title=""The Lorax"">The Lorax</a> </i>and <i><a href=""https://www.goodreads.com/book/show/191139.Oh__The_Places_You_ll_Go_"" title=""Oh, The Places You'll Go!"">Oh, The Places You'll Go!</a>,</i> these portable packages are perfect for practicing readers ages 3-7, and lucky parents too!</span>","<span tabindex=""-1""><span class=""BookPageMetadataSection__genrePlainText""><span class=""Text Text__body3 Text__subdued"">Genres</span></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/childrens"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Childrens</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/picture-books"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Picture Books</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/classics"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Classics</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/fiction"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Fiction</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/poetry"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Poetry</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/fantasy"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Fantasy</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/humor"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Humor</span></a></span></span>","<div class=""RatingStatistics__rating"" aria-hidden=""true"">4.18</div>",The Cat in the Hat,"<span data-testid=""ratingsCount"" aria-hidden=""true"">502,570<!-- --> <!-- -->ratings</span>"
Frances Hodgson Burnett,"<span class=""Formatted"">When orphaned Mary Lennox comes to live at her uncle's great house on the Yorkshire Moors, she finds it full of secrets. The mansion has nearly one hundred rooms, and her uncle keeps himself locked up. And at night, she hears the sound of crying down one of the long corridors. The gardens surrounding the large property are Mary's only escape. Then, Mary discovers a secret garden, surrounded by walls and locked with a missing key. One day, with the help of two unexpected companions, she discovers a way in. Is everything in the garden dead, or can Mary bring it back to life?<br><br>One of the most delightful and enduring classics of children's literature, <i>The Secret Garden</i> has remained a firm favorite with children the world over ever since it made its first appearance. Initially published as a serial story in 1910 in <i>The American Magazine</i>, it was brought out in novel form in 1911.</span>","<span tabindex=""-1""><span class=""BookPageMetadataSection__genrePlainText""><span class=""Text Text__body3 Text__subdued"">Genres</span></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/classics"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Classics</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/fiction"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Fiction</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/childrens"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Childrens</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/young-adult"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Young Adult</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/historical-fiction"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Historical Fiction</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/middle-grade"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Middle Grade</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/fantasy"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Fantasy</span></a></span></span>","<div class=""RatingStatistics__rating"" aria-hidden=""true"">4.15</div>",The Secret Garden,"<span data-testid=""ratingsCount"" aria-hidden=""true"">1,062,277<!-- --> <!-- -->ratings</span>"
Veronica Roth,"<span class=""Formatted"">One choice can transform you—or it can destroy you. But every choice has consequences, and as unrest surges in the factions all around her, Tris Prior must continue trying to save those she loves—and herself—while grappling with haunting questions of grief and forgiveness, identity and loyalty, politics and love.<br><br>Tris's initiation day should have been marked by celebration and victory with her chosen faction; instead, the day ended with unspeakable horrors. War now looms as conflict between the factions and their ideologies grows. And in times of war, sides must be chosen, secrets will emerge, and choices will become even more irrevocable—and even more powerful. Transformed by her own decisions but also by haunting grief and guilt, radical new discoveries, and shifting relationships, Tris must fully embrace her Divergence, even if she does not know what she may lose by doing so.<br><br><i>New York Times</i> bestselling author Veronica Roth's much-anticipated second book of the dystopian <b>DIVERGENT</b> series is another intoxicating thrill ride of a story, rich with hallmark twists, heartbreaks, romance, and powerful insights about human nature.</span>","<span tabindex=""-1""><span class=""BookPageMetadataSection__genrePlainText""><span class=""Text Text__body3 Text__subdued"">Genres</span></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/young-adult"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Young Adult</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/dystopia"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Dystopia</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/fiction"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Fiction</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/fantasy"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Fantasy</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/science-fiction"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Science Fiction</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/romance"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Romance</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/adventure"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Adventure</span></a></span></span>","<div class=""RatingStatistics__rating"" aria-hidden=""true"">3.99</div>",Insurgent,"<span data-testid=""ratingsCount"" aria-hidden=""true"">1,377,184<!-- --> <!-- -->ratings</span>"
J.K. Rowling,"<span class=""Formatted"">It is the middle of the summer, but there is an unseasonal mist pressing against the windowpanes. Harry Potter is waiting nervously in his bedroom at the Dursleys' house in Privet Drive for a visit from Professor Dumbledore himself. One of the last times he saw the Headmaster was in a fierce one-to-one duel with Lord Voldemort, and Harry can't quite believe that Professor Dumbledore will actually appear at the Dursleys' of all places. Why is the Professor coming to visit him now? What is it that cannot wait until Harry returns to Hogwarts in a few weeks' time? Harry's sixth year at Hogwarts has already got off to an unusual start, as the worlds of Muggle and magic start to intertwine...</span>","<span tabindex=""-1""><span class=""BookPageMetadataSection__genrePlainText""><span class=""Text Text__body3 Text__subdued"">Genres</span></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/fantasy"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Fantasy</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/young-adult"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Young Adult</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/fiction"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Fiction</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/magic"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Magic</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/childrens"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Childrens</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/adventure"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Adventure</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/audiobook"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Audiobook</span></a></span></span>","<div class=""RatingStatistics__rating"" aria-hidden=""true"">4.58</div>",Harry Potter and the Half-Blood Prince,"<span data-testid=""ratingsCount"" aria-hidden=""true"">2,945,109<!-- --> <!-- -->ratings</span>"
J.K. Rowling,"<span class=""Formatted"">Harry Potter is about to start his fifth year at Hogwarts School of Witchcraft and Wizardry. Unlike most schoolboys, Harry never enjoys his summer holidays, but this summer is even worse than usual. The Dursleys, of course, are making his life a misery, but even his best friends, Ron and Hermione, seem to be neglecting him.<br><br>Harry has had enough. He is beginning to think he must do something, anything, to change his situation, when the summer holidays come to an end in a very dramatic fashion. What Harry is about to discover in his new year at Hogwarts will turn his world upside down...</span>","<span tabindex=""-1""><span class=""BookPageMetadataSection__genrePlainText""><span class=""Text Text__body3 Text__subdued"">Genres</span></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/fantasy"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Fantasy</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/young-adult"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Young Adult</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/fiction"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Fiction</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/magic"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Magic</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/childrens"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Childrens</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/adventure"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Adventure</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/audiobook"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Audiobook</span></a></span></span>","<div class=""RatingStatistics__rating"" aria-hidden=""true"">4.50</div>",Harry Potter and the Order of the Phoenix,"<span data-testid=""ratingsCount"" aria-hidden=""true"">3,041,436<!-- --> <!-- -->ratings</span>"
J.K. Rowling,"<span class=""Formatted"">Harry has been burdened with a dark, dangerous and seemingly impossible task: that of locating and destroying Voldemort's remaining Horcruxes. Never has Harry felt so alone, or faced a future so full of shadows. But Harry must somehow find within himself the strength to complete the task he has been given. He must leave the warmth, safety and companionship of The Burrow and follow without fear or hesitation the inexorable path laid out for him...<br><br>In this final, seventh installment of the Harry Potter series, J.K. Rowling unveils in spectacular fashion the answers to the many questions that have been so eagerly awaited.</span>","<span tabindex=""-1""><span class=""BookPageMetadataSection__genrePlainText""><span class=""Text Text__body3 Text__subdued"">Genres</span></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/young-adult"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Young Adult</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/fiction"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Fiction</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/magic"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Magic</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/childrens"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Childrens</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/adventure"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Adventure</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/fantasy"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Fantasy</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/audiobook"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Audiobook</span></a></span></span>","<div class=""RatingStatistics__rating"" aria-hidden=""true"">4.62</div>",Harry Potter and the Deathly Hallows,"<span data-testid=""ratingsCount"" aria-hidden=""true"">3,356,255<!-- --> <!-- -->ratings</span>"
J.K. Rowling,"<span class=""Formatted"">It is the summer holidays and soon Harry Potter will be starting his fourth year at Hogwarts School of Witchcraft and Wizardry. Harry is counting the days: there are new spells to be learnt, more Quidditch to be played, and Hogwarts castle to continue exploring. But Harry needs to be careful - there are unexpected dangers lurking...</span>","<span tabindex=""-1""><span class=""BookPageMetadataSection__genrePlainText""><span class=""Text Text__body3 Text__subdued"">Genres</span></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/fantasy"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Fantasy</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/young-adult"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Young Adult</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/fiction"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Fiction</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/magic"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Magic</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/childrens"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Childrens</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/middle-grade"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Middle Grade</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/adventure"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Adventure</span></a></span></span>","<div class=""RatingStatistics__rating"" aria-hidden=""true"">4.57</div>",Harry Potter and the Goblet of Fire,"<span data-testid=""ratingsCount"" aria-hidden=""true"">3,214,354<!-- --> <!-- -->ratings</span>"
Veronica Roth,"<span class=""Formatted"">In Beatrice Prior's dystopian Chicago world, society is divided into five factions, each dedicated to the cultivation of a particular virtue—Candor (the honest), Abnegation (the selfless), Dauntless (the brave), Amity (the peaceful), and Erudite (the intelligent). On an appointed day of every year, all sixteen-year-olds must select the faction to which they will devote the rest of their lives. For Beatrice, the decision is between staying with her family and being who she really is—she can't have both. So she makes a choice that surprises everyone, including herself.<br><br>During the highly competitive initiation that follows, Beatrice renames herself Tris and struggles alongside her fellow initiates to live out the choice they have made. Together they must undergo extreme physical tests of endurance and intense psychological simulations, some with devastating consequences. As initiation transforms them all, Tris must determine who her friends really are—and where, exactly, a romance with a sometimes fascinating, sometimes exasperating boy fits into the life she's chosen. But Tris also has a secret, one she's kept hidden from everyone because she's been warned it can mean death. And as she discovers unrest and growing conflict that threaten to unravel her seemingly perfect society, she also learns that her secret might help her save those she loves . . . or it might destroy her.</span>","<span tabindex=""-1""><span class=""BookPageMetadataSection__genrePlainText""><span class=""Text Text__body3 Text__subdued"">Genres</span></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/young-adult"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Young Adult</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/dystopia"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Dystopia</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/fiction"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Fiction</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/fantasy"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Fantasy</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/science-fiction"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Science Fiction</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/romance"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Romance</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/adventure"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Adventure</span></a></span></span>","<div class=""RatingStatistics__rating"" aria-hidden=""true"">4.16</div>",Divergent,"<span data-testid=""ratingsCount"" aria-hidden=""true"">3,574,261<!-- --> <!-- -->ratings</span>"
Suzanne Collins,"<span class=""Formatted""><b>My name is Katniss Everdeen.<br>Why am I not dead?<br>I should be dead.</b><br><br>Katniss Everdeen, girl on fire, has survived, even though her home has been destroyed. Gale has escaped. Katniss's family is safe. Peeta has been captured by the Capitol. District 13 really does exist. There are rebels. There are new leaders. A revolution is unfolding.<br><br>It is by design that Katniss was rescued from the arena in the cruel and haunting Quarter Quell, and it is by design that she has long been part of the revolution without knowing it. District 13 has come out of the shadows and is plotting to overthrow the Capitol. Everyone, it seems, has had a hand in the carefully laid plans—except Katniss.<br><br>The success of the rebellion hinges on Katniss's willingness to be a pawn, to accept responsibility for countless lives, and to change the course of the future of Panem. To do this, she must put aside her feelings of anger and distrust. She must become the rebels' Mockingjay—no matter what the personal cost.</span>","<span tabindex=""-1""><span class=""BookPageMetadataSection__genrePlainText""><span class=""Text Text__body3 Text__subdued"">Genres</span></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/young-adult"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Young Adult</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/dystopia"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Dystopia</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/fiction"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Fiction</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/fantasy"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Fantasy</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/science-fiction"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Science Fiction</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/romance"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Romance</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/adventure"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Adventure</span></a></span></span>","<div class=""RatingStatistics__rating"" aria-hidden=""true"">4.06</div>",Mockingjay,"<span data-testid=""ratingsCount"" aria-hidden=""true"">2,830,538<!-- --> <!-- -->ratings</span>"
Suzanne Collins,"<span class=""Formatted""><b>Sparks are igniting.<br>Flames are spreading.<br>And the Capitol wants revenge.</b><br> <br>Against all odds, Katniss Everdeen has won the Hunger Games. She and fellow District 12 tribute Peeta Mellark are miraculously still alive. Katniss should be relieved, happy even. After all, she has returned to her family and her longtime friend, Gale. Yet nothing is the way Katniss wishes it to be. Gale holds her at an icy distance. Peeta has turned his back on her completely. And there are whispers of a rebellion against the Capitol—a rebellion that Katniss and Peeta may have helped create. <br><br>Much to her shock, Katniss has fueled an unrest that she's afraid she cannot stop. And what scares her even more is that she's not entirely convinced she should try. As time draws near for Katniss and Peeta to visit the districts on the Capitol's cruel Victory Tour, the stakes are higher than ever. If they can't prove, without a shadow of a doubt, that they are lost in their love for each other, the consequences will be horrifying.<br><br>In <i>Catching Fire</i>, the second novel of the Hunger Games trilogy, Suzanne Collins continues the story of Katniss Everdeen, testing her more than ever before . . . and surprising readers at every turn.</span>","<span tabindex=""-1""><span class=""BookPageMetadataSection__genrePlainText""><span class=""Text Text__body3 Text__subdued"">Genres</span></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/young-adult"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Young Adult</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/dystopia"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Dystopia</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/fiction"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Fiction</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/fantasy"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Fantasy</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/science-fiction"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Science Fiction</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/romance"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Romance</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/adventure"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Adventure</span></a></span></span>","<div class=""RatingStatistics__rating"" aria-hidden=""true"">4.30</div>",Catching Fire,"<span data-testid=""ratingsCount"" aria-hidden=""true"">3,096,522<!-- --> <!-- -->ratings</span>"
